HWH,Howrah Junction ,23 
BWN,Barddhaman Junction ,8 
PAN,Panagarh ,4 
DGR,Durgapur ,5 
UDL,Andal Junction ,6 
RNG,RaniGanj ,4 
ASN,Asansol Junction ,7 
INDB,Indore Junction BG ,6 
DWX,Dewas Junction ,2 
UJN,Ujjain Junction ,8 
SJP,Shujalpur ,3 
BPL,Bhopal Junction ,6 
ET,Itarsi Junction ,8 
GDYA,Ghoradongri ,3 
BZU,Betul ,3 
AMLA,Amla Junction ,4 
PAR,Pandhurna ,2 
NGP,Nagpur Junction ,8 
SEGM,Sewagram Junction ,5 
HGT,Hinganghat ,3 
CD,Chandrapur ,3 
BPQ,Balharshah Junction ,5 
SKZR,Sirpur Kaghaznagar ,3 
BPA,Bellampalli ,3 
MCI,Manchiryal ,3 
RDM,Ramagundam ,3 
WL,Warangal ,3 
KMT,Khammam ,2 
BZA,Vijayawada Junction ,10 
TEL,Tenali Junction ,5 
CLX,Chirala ,4 
OGL,Ongole ,3 
NLR,Nellore ,4 
GDR,Gudur Junction ,3 
MAS,Chennai Central ,12 
KPD,Katpadi Junction ,5 
JTJ,Jolarpettai Junction ,5 
SA,Salem Junction ,6 
ED,Erode Junction ,4 
TUP,Tiruppur ,2 
CBE,Coimbatore Main Junction ,6 
PGT,Palakkad Junction ,Palghat) 
OTP,Ottappalam ,2 
SRR,Shoranur Junction ,7 
WKI,Wadakkanchery ,2 
TCR,Thrissur ,Trichur) 
IJK,Irinjalakkuda ,2 
CKI,Chalakkudy ,3 
AFK,Angamaly for Kalady ,3 
AWY,Aluva ,Alwaye) 
ERN,Ernakulam Town ,North) 
ERS,Ernakulam Junction ,South) 
SRTL,Sherthalai ,Cherthala) 
ALLP,Alappuzha ,Alleppey) 
AMPA,Ambalappuzha ,1 
HAD,Harippad ,2 
KYJ,Kayamkulam Junction ,5 
QLN,Kollam Junction ,Quilon) 
TVC,Thiruvananthapuram Central ,Trivandrum) 
ADI,Ahmedabad Junction ,10 
ND,Nadiad Junction ,4 
ANND,Anand Junction ,6 
BRC,Vadodara Junction ,7 
BH,Bharuch Junction ,5 
ST,Surat ,4 
NVS,Navsari ,3 
BL,Valsad ,3 
VAPI,Vapi ,3 
DRD,Dahanu Road ,5 
BSR,Vasai Road ,7 
BIRD,Bhiwandi Road ,5 
KYN,Kalyan Junction ,8 
KJT,Karjat Junction ,4 
LNL,Lonavala ,3 
SVJR,Shivajinagar ,2 
PUNE,Pune Junction ,6 
KOP,Kolhapur CSMT ,3 
MRJ,Miraj Junction ,6 
SLI,Sangli ,3 
STR,Satara ,3 
JAT,Jammu Tawi ,3 
BBMN,Bari Brahman ,2 
VJPJ,Vijaypur Jammu ,2 
SMBX,Samba ,2 
GHGL,Ghagwal ,2 
HRNR,Hira Nagar ,2 
CKDL,Chakdayala ,2 
BDHY,Budhi ,2 
KTHU,Kathua ,2 
MDPB,Madhopur Punjab ,2 
SJNP,Sujanpur ,3 
PTK,Pathankot Junction ,4 
CHKB,Chakki Bank ,3 
MRTL,Mirthal ,2 
MEX,Mukerian ,3 
DZA,Dasuya ,2 
TDO,Tanda Urmar ,3 
BPRS,Bhogpur Sirwal ,2 
JUC,Jalandhar City Junction ,5 
KXH,Kapurthala ,2 
SQR/Sultanpur Lodi
LNK,Lohian Khas Junction ,3 
MXH,Makhu ,2 
MWX,Mallanwala Khas ,2 
FZR,Firozpur Cantt. Junction ,6 
FDK,Faridkot ,3 
KKP,Kot Kapura Junction ,3 
GJUT,Gangsar Jaitu ,3 
BTI,Bathinda Junction ,7 
MBY,Mandi Dabwali ,2 
SGRA/Sangaria
HMH,Hanumangarh Junction ,4 
PGK,PiliBanga ,2 
SOG,Suratgarh Junction ,5 
LKS,Lunkaransar ,1 
LGH,Lalgarh Junction ,3 
BKN,Bikaner Junction ,6 
DSO,Deshnoke ,2 
NOK,Nokha ,2 
NGO,Nagaur ,2 
MDW,Marwar Mundwa ,1 
MTD,Merta Road Junction ,3 
GOTN,Gotan ,3 
PPR,Pipar Road Junction ,3 
RKB,Raikabag Palace Junction ,2 
JU,Jodhpur Junction ,5 
LUNI,Luni Junction ,3 
PMY,Pali Marwar ,2 
MJ,Marwar Junction ,4 
FA,Falna ,2 
ABR,Abu Road ,3 
PNU,Palanpur Junction ,5 
SID,Siddhpur ,2 
UJA,Unjha ,2 
